"NomeItem";"Calibre";"DanoBase";"DanoBlindagem";"Penetracao";"Velocidade";"Precisao";"RecuoVertical";"RecuoHorizontal";"NivelPenetracao";"ChanceFerir";"FerimentoContuso"
"BS";"5.45x39mm";"40";"26";"52";"830";"+5";"-4";"-7";"5";"//////";"2.3"
"HP";"5.45x39mm";"73";"5";"15";"884";"+1";"0";"0";"1";"Medium";"2.3"
"PP";"5.45x39mm";"44";"13";"31";"890";"+3";"0";"-1";"3";"//////";"2.8"
"PRS";"5.45x39mm";"59";"5";"11";"890";"+1";"+2";"+4";"1";"//////";"2.8"
"PS";"5.45x39mm";"53";"8";"25";"890";"+2";"+1";"+2";"2";"//////";"2.8"
"FMJ Hunting";"5.56x45mm";"53";"7";"21";"957";"+2";"+1";"+2";"2";"//////";"2.8"
"HP Hunting";"5.56x45mm";"69";"5";"14";"947";"+1";"0";"0";"1";"Medium";"2.2"
"M193";"5.56x45mm";"52";"7";"12";"957";"+1";"+2";"+4";"1";"Low";"2.6"
"M855";"5.56x45mm";"50";"13";"34";"922";"+3";"0";"-1";"3";"//////";"2.8"
"M855A1";"5.56x45mm";"44";"17";"40";"945";"+4";"-1";"-2";"4";"//////";"2.6"
"M995";"5.56x45mm";"41";"27";"52";"1013";"+5";"-4";"-7";"5";"//////";"2.3"
"L191";"5.7x28mm";"55";"12";"32";"716";"+4";"-1";"-2";"3";"//////";"2.8"
"R37.F";"5.7x28mm";"78";"4";"5";"729";"+1";"0";"0";"0";"//////";"2.0"
"R37.X";"5.7x28mm";"71";"6";"15";"724";"+2";"+1";"+2";"1";"//////";"2.3"
"SS190";"5.7x28mm";"47";"19";"42";"716";"+5";"-2";"-3";"4";"//////";"2.8"
"SS197SR";"5.7x28mm";"62";"9";"22";"594";"+3";"+1";"+2";"2";"//////";"2.8"
"SS198";"5.7x28mm";"43";"23";"53";"792";"+1";"-4";"-7";"5";"//////";"2.4"
"DBP87";"5.8x42mm";"52";"12";"34";"930";"+3";"0";"-1";"3";"//////";"2.8"
"DVC12";"5.8x42mm";"44";"29";"53";"915";"+5";"-4";"-7";"5";"//////";"2.4"
"DVP88";"5.8x42mm";"47";"19";"44";"870";"+4";"-1";"-2";"4";"//////";"2.8"
"AKBS";"7.62x25mm";"58";"4";"13";"425";"+2";"+1";"+2";"1";"Medium";"2.9"
"LRN";"7.62x25mm";"64";"2";"9";"375";"+4";"-2";"-4";"0";"Medium";"2.6"
"PS";"7.62x25mm";"47";"12";"31";"440";"+4";"+1";"+1";"3";"//////";"2.9"
"Pst";"7.62x25mm";"51";"10";"22";"430";"+5";"+2";"+3";"2";"Low";"2.9"
"PT";"7.62x25mm";"55";"6";"19";"415";"+3";"+1";"+2";"1";"//////";"2.9"
"AP";"7.62x39mm";"45";"32";"54";"730";"+1";"-4";"-7";"5";"//////";"2.5"
"PB";"7.62x39mm";"55";"23";"45";"730";"+5";"-2";"-3";"4";"//////";"3.2"
"HP";"7.62x39mm";"78";"7";"16";"754";"+1";"0";"0";"1";"Medium";"2.5"
"LP";"7.62x39mm";"60";"3";"13";"720";"+1";"+2";"+4";"1";"Medium";"3.2"
"PS";"7.62x39mm";"55";"14";"33";"700";"+4";"-1";"-2";"3";"//////";"3.2"
"T45M";"7.62x39mm";"60";"13";"31";"720";"+3";"0";"-1";"3";"//////";"3.2"
"US";"7.62x39mm";"55";"9";"27";"300";"+2";"+1";"+2";"2";"//////";"3.2"
"BPZ";"7.62x51mm";"67";"14";"32";"840";"+2";"-1";"-2";"3";"//////";"3.3"
"M61";"7.62x51mm";"50";"37";"68";"849";"+5";"-11";"-11";"6";"//////";"2.9"
"M62";"7.62x51mm";"56";"28";"53";"816";"+4";"-9";"-9";"5";"//////";"2.6"
"M80";"7.62x51mm";"63";"21";"42";"833";"+3";"-3";"-3";"4";"//////";"3.2"
"UN";"7.62x51mm";"79";"8";"16";"822";"+1";"-2";"-3";"1";"//////";"2.7"
"7N37";"7.62x54mm";"50";"54";"71";"785";"+5";"-3";"-5";"7";"//////";"6.5"
"LPS";"7.62x54mm";"75";"27";"42";"865";"+1";"-1";"-3";"4";"//////";"6.0"
"SNB";"7.62x54mm";"64";"43";"63";"875";"+3";"-9";"-9";"6";"//////";"6.4"
"T46M";"7.62x54mm";"77";"16";"33";"800";"+1";"+1";"+2";"3";"//////";"6.0"
"7BT1";"7.62x54mm";"65";"38";"54";"820";"+2";"-2";"-4";"5";"//////";"6.0"
"7N31";"9x19mm";"44";"19";"40";"600";"+5";"-2";"-3";"4";"//////";"2.9"
"AP6.3";"9x19mm";"46";"12";"30";"392";"+4";"0";"0";"3";"//////";"2.9"
"Dum-Dum";"9x19mm";"74";"1";"4";"381";"+1";"0";"0";"0";"High";"2.1"
"PSO";"9x19mm";"54";"6";"15";"340";"+2";"+1";"+2";"1";"Medium";"2.9"
"Pst";"9x19mm";"50";"7";"20";"457";"+3";"+2";"+3";"2";"//////";"2.9"
"7N12";"9x39mm";"50";"22";"50";"295";"+4";"-3";"-6";"5";"//////";"2.7"
"7N9";"9x39mm";"56";"13";"47";"310";"+3";"0";"-1";"4";"//////";"2.8"
"SP5";"9x39mm";"64";"11";"33";"290";"+1";"+1";"+2";"3";"//////";"3.1"
"SP6";"9x39mm";"53";"18";"41";"305";"+2";"+1";"+2";"4";"//////";"3.2"
"M855A2";"5.56x45mm";"48";"20";"41";"945";"+4";"-1";"-2";"4";"//////";"2.9"
"Dragon's Breath";"12x70mm";"34x8 (272)";"10";"29";"280";"+1";"-3";"-5";"2";"//////";"0.7"
"APWC";".45";"48";"17";"42";"290";"+3";"-3";"-3";"4";"//////";"3.2"
