"NomeItem";"Classe";"Calibre";"RecuoVertical";"RecuoHorizontal";"Ergonomia";"Precisao";"EstabilidadeHipFire";"Alcance";"VelocidadeBocal";"ModoDisparo";"Cadencia";"PoderFogo";"TipoCano";"EstabilidadeArma"
"Mk14";"MARKSMAN RIFLE";"7.62x51mm";"57";"54";"59";"69";"48";"61";"853";"Semi, Full";"700";"Mid-High";"R+ WD+";"54"
"ML Lever-Action";"MARKSMAN RIFLE";".44";"37";"29";"62";"86";"85";"74";"457";"Semi";"75";"Medium";"FB";"65"
"Mosin";"BOLT-ACTION RIFLE";"7.62x54mm";"9";"12";"22";"87";"10";"100";"830";"Bolt-Action";"28";"Low";"Default -";"64"
"MP 40";"SUBMACHINE GUN";"9x19mm";"68";"42";"65";"17";"61";"32";"400";"Full";"500";"Mid-High";"FB D+";"40"
"MP-133";"SHOTGUN";"12x70mm";"7";"6";"47";"5";"51";"13";"337";"Pump-Action";"60";"Medium";"D+ R+";"41"
"MP5";"SUBMACHINE GUN";"9x19mm";"70";"50";"74";"22";"76";"32";"400";"Semi, Full";"750";"Mid-High";"FB D+";"42"
"MP9";"PISTOL";"9x19mm";"69";"42";"69";"13";"72";"13";"400";"Semi, Full";"750";"Medium";"FB";"44"
"MPF45";"SUBMACHINE GUN";".45";"56";"37";"71";"15";"76";"30";"235";"Semi, Full";"700";"Mid-Low";"FB D-";"42"
"MPX";"SUBMACHINE GUN";"9x19mm";"68";"48";"81";"25";"74";"37";"390";"Semi, Full";"850";"Mid-High";"D+ R+ WD+";"45"
"P90";"SUBMACHINE GUN";"5.7x28mm";"73";"69";"72";"20";"73";"41";"715";"Semi, Full";"1000";"Mid-Low";"D+ R+ WD-";"43"
"PCC-9";"ASSAULT RIFLE";"9x19mm";"70";"51";"78";"28";"73";"41";"396";"Semi";"600";"Mid-High";"D+ R+ WD+";"55"
"PP19-01";"SUBMACHINE GUN";"9x19mm";"68";"58";"79";"38";"60";"30";"380";"Semi, Full";"750";"Medium";"D+ R+ WD+";"41"
"QC61";"SUBMACHINE GUN";"7.62x25mm";"61";"41";"69";"19";"62";"38";"490";"Semi, Full";"700";"Mid-Low";"FB D-";"42"
"RPK-16";"LIGHT MACHINE GUN";"5.45x39mm";"73";"58";"51";"57";"66";"61";"890";"Semi, Full";"750";"High";"R+ WD+";"55"
"S12K";"SHOTGUN";"12x70mm";"30";"32";"66";"10";"51";"16";"396";"Semi";"200";"Mid-High";"FB D+";"41"
"SA85M";"CARBINE";"7.62x39mm";"51";"46";"42";"62";"70";"61";"716";"Semi";"300";"Mid-Low";"Default -";"60"
"SCAR-L";"ASSAULT RIFLE";"5.56x45mm";"66";"44";"70";"50";"73";"52";"875";"Semi, Full";"500";"Medium";"D+ R+ WD+";"52"
"SG550";"ASSAULT RIFLE";"5.56x45mm";"55";"37";"46";"32";"61";"47";"760";"Semi, Full";"525";"Low";"R+ WD-";"50"
"SJ16";"BOLT-ACTION RIFLE";".338";"11";"15";"32";"90";"10";"125";"1300";"Bolt-Action";"26";"Mid-High";"FB D+";"65"
"SKS";"CARBINE";"7.62x39mm";"42";"39";"46";"77";"50";"67";"735";"Semi";"300";"Mid-High";"FB D+";"65"
"SPR310";"SHOTGUN";"12x70mm";"25";"24";"49";"10";"50";"12";"410";"Semi";"300";"Medium";"FB D+";"38"
"SVDS";"MARKSMAN RIFLE";"7.62x54mm";"43";"44";"44";"91";"22";"93";"815";"Semi";"225";"High";"FB D+";"64"
"SVTU";"CARBINE";"7.62x54mm";"30";"25";"30";"35";"42";"73";"640";"Semi";"200";"Low";"FB D-";"50"
"T03";"ASSAULT RIFLE";"5.8x42mm";"77";"37";"57";"45";"72";"61";"930";"Semi, Full";"700";"Mid-High";"FB D+";"49"
"T05";"PISTOL";"9x19mm";"41";"22";"77";"11";"58";"16";"300";"Semi";"300";"Low";"FBNMD-";"50"
"T54";"PISTOL";"7.62x25mm";"52";"23";"71";"15";"64";"14";"420";"Semi";"325";"Low";"FBNMD-";"50"
"T79";"SUBMACHINE GUN";"7.62x25mm";"65";"48";"67";"17";"64";"38";"515";"Semi, Full";"750";"Mid-Low";"FB D-";"43"
"T85";"SUBMACHINE GUN";"7.62x25mm";"75";"74";"70";"23";"71";"44";"500";"Semi, Full";"780";"Mid-Low";"Default -";"42"
"T951";"ASSAULT RIFLE";"5.8x42mm";"70";"40";"57";"42";"68";"51";"930";"Semi, Full";"650";"Medium";"D+ R+";"51"
"UMP45";"SUBMACHINE GUN";".45";"65";"47";"66";"20";"63";"39";"285";"Semi, Full";"650";"Medium";"D+ R+";"43"
"USAS-12";"SHOTGUN";"12x70mm";"37";"42";"53";"12";"50";"14";"400";"Semi, Full";"275";"Mid-High";"FB D+";"40"
"UZI";"SUBMACHINE GUN";"9x19mm";"64";"43";"68";"18";"65";"33";"400";"Semi, Full";"700";"Medium";"FB";"40"
"Vector 45";"SUBMACHINE GUN";".45";"62";"47";"71";"21";"79";"33";"270";"2-RB, Semi, Full";"1100";"Low";"R+ WD-";"41"
"Vector 9";"SUBMACHINE GUN";"9x19mm";"58";"40";"74";"20";"79";"39";"300";"2-RB, Semi, Full";"950";"Medium";"R+";"41"
"VSS";"MARKSMAN RIFLE";"9x39mm";"65";"45";"57";"44";"71";"37";"287";"Semi, Full";"850";"Medium";"R+";"55"
"ZC807";"ASSAULT RIFLE";"7.62x39mm";"66";"50";"74";"37";"60";"56";"760";"Semi, Full";"750";"Medium";"FB D+";"48"
"AMB-17";"ASSAULT RIFLE";"9x39mm";"75";"63";"61";"49";"64";"43";"310";"Semi, Full";"730";"Medium";"FBNMD+";"51"
"T191";"ASSAULT RIFLE";"5.8x42mm";"64";"42";"73";"80";"72";"55";"930";"Semi, Full";"750";"Mid-High";"Default +";"60"
"U191";"MARKSMAN RIFLE";"5.8x42mm";"63";"49";"46";"90";"51";"69";"950";"Semi, Full";"750";"High";"FB D+";"72"
"T192";"ASSAULT RIFLE";"5.8x42mm";"66";"42";"84";"60";"80";"47";"900";"Semi, Full";"750";"Mid-High";"Default +";"76"
"FAMAS";"ASSAULT RIFLE";"5.56x45mm";"73";"42";"59";"45";"70";"46";"850";"3-RB, Semi, Full";"900";"Mid-High";"D+ R+ WD+";"51"
"T88";"MARKSMAN RIFLE";"5.8x42mm";"76";"61";"64";"88";"55";"117";"895";"Semi";"400";"Ultra High";"FB D+";"55"
"Banshee";"SUBMACHINE GUN";"5.7x28mm";"70";"58";"69";"23";"75";"38";"720";"Semi, Full";"750";"Mid-High";"R+ WD+";"55"
"A545";"ASSAULT RIFLE";"5.45x39mm";"77";"63";"70";"65";"61";"48";"880";"Full, 2-RB, Semi";"900";"Ultra High";"FB D+";"60"
"AK 15SC";"ASSAULT RIFLE";"7.62x39mm";"65";"56";"72";"44";"66";"44";"710";"Semi, Full";"730";"Medium";"FB";"46"
