"Arma";"Calibre";"nome da munição";"dano(alcance)"
"FAL";"7.62x51mm";"M80";"60(58) | 42(61)"
"FAL";"7.62x51mm";"UN";"76(58) | 53(61)"
"FAMAS";"5.56x45mm";"FMJ Hunting";"57(54) | 40(57)"
"FAMAS";"5.56x45mm";"HP Hunting";"73(54) | 51(57)"
"FAMAS";"5.56x45mm";"M193";"56(54) | 39(57)"
"FAMAS";"5.56x45mm";"M855";"54(54) | 38(57)"
"FAMAS";"5.56x45mm";"M855A1";"48(54) | 34(57)"
"FAMAS";"5.56x45mm";"M855A2";"52(54) | 36(57)"
"FAMAS";"5.56x45mm";"M995";"45(54) | 32(57)"
"G17";"9x19mm";"7N31";"40(16) | 28(19)"
"G17";"9x19mm";"AP6.3";"42(16) | 29(19)"
"G17";"9x19mm";"Dum-Dum";"70(16) | 49(19)"
"G17";"9x19mm";"PSO";"50(16) | 35(19)"
"G17";"9x19mm";"Pst";"46(16) | 32(19)"
"G18C";"9x19mm";"7N31";"40(14) | 28(17)"
"G18C";"9x19mm";"AP6.3";"42(14) | 29(17)"
"G18C";"9x19mm";"Dum-Dum";"70(14) | 49(17)"
"G18C";"9x19mm";"PSO";"50(14) | 35(17)"
"G18C";"9x19mm";"Pst";"46(14) | 32(17)"
"G3";"7.62x51mm";"BPZ";"61(48) | 43(51)"
"G3";"7.62x51mm";"M61";"44(48) | 31(51)"
"G3";"7.62x51mm";"M62";"50(48) | 35(51)"
"G3";"7.62x51mm";"M80";"57(48) | 40(51)"
"G3";"7.62x51mm";"UN";"73(48) | 51(51)"
"G-Deagle";".44";"JSP";"67(36) | 47(39)"
"G-Deagle";".44";"LFNP";"98(36) | 69(39)"
"G-Deagle";".44";"SJHP";"76(36) | 53(39)"
"HK416";"5.56x45mm";"FMJ Hunting";"58(55) | 41(58)"
"HK416";"5.56x45mm";"HP Hunting";"74(55) | 52(58)"
"HK416";"5.56x45mm";"M193";"57(55) | 40(58)"
"HK416";"5.56x45mm";"M855";"55(55) | 39(58)"
"HK416";"5.56x45mm";"M855A1";"49(55) | 34(58)"
"HK416";"5.56x45mm";"M855A2";"53(55) | 37(58)"
"HK416";"5.56x45mm";"M995";"46(55) | 32(58)"
"M110";"7.62x51mm";"BPZ";"70(97) | 49(100)"
"M110";"7.62x51mm";"M61";"53(97) | 37(100)"
"M110";"7.62x51mm";"M62";"59(97) | 41(100)"
"M110";"7.62x51mm";"M80";"66(97) | 46(100)"
"M110";"7.62x51mm";"UN";"82(97) | 57(100)"
"M14";"7.62x51mm";"BPZ";"69(78) | 48(81)"
"M14";"7.62x51mm";"M61";"52(78) | 36(81)"
"M14";"7.62x51mm";"M62";"58(78) | 41(81)"
"M14";"7.62x51mm";"M80";"65(78) | 46(81)"
"M14";"7.62x51mm";"UN";"81(78) | 57(81)"
"M16";"5.56x45mm";"FMJ Hunting";"59(75) | 41(78)"
"M16";"5.56x45mm";"HP Hunting";"75(75) | 53(78)"
"M16";"5.56x45mm";"M193";"58(75) | 41(78)"
"M16";"5.56x45mm";"M855";"56(75) | 39(78)"
"M16";"5.56x45mm";"M855A1";"50(75) | 35(78)"
"M16";"5.56x45mm";"M855A2";"54(75) | 38(78)"
"M16";"5.56x45mm";"M995";"47(75) | 33(78)"
"M1911";".45";"AP";"49(18) | 34(21)"
"M1911";".45";"APWC";"49(18) | 34(21)"
"M1911";".45";"FMJ";"55(18) | 39(21)"
"M1911";".45";"HS";"59(18) | 41(21)"
"M24";"7.62x51mm";"BPZ";"76(120)"
"M24";"7.62x51mm";"M61";"59(120)"
"M24";"7.62x51mm";"M62";"65(120)"
"M24";"7.62x51mm";"M80";"72(120)"
"M24";"7.62x51mm";"UN";"88(120)"
"M3A1";".45";"AP";"45(39) | 32(42)"
"M3A1";".45";"APWC";"45(39) | 32(42)"
"M3A1";".45";"FMJ";"51(39) | 36(42)"
"M3A1";".45";"HS";"55(39) | 39(42)"
"M45A1";".45";"AP";"50(14) | 35(17)"
"M45A1";".45";"APWC";"50(14) | 35(17)"
"M45A1";".45";"FMJ";"56(14) | 39(17)"
"M45A1";".45";"HS";"60(14) | 42(17)"
"M4A1";"5.56x45mm";"FMJ Hunting";"57(61) | 40(64)"
"M4A1";"5.56x45mm";"HP Hunting";"73(61) | 51(64)"
"M4A1";"5.56x45mm";"M193";"56(61) | 39(64)"
"M4A1";"5.56x45mm";"M855";"54(61) | 38(64)"
"M4A1";"5.56x45mm";"M855A1";"48(61) | 34(64)"
"M4A1";"5.56x45mm";"M855A2";"52(61) | 36(64)"
"M4A1";"5.56x45mm";"M995";"45(61) | 32(64)"
"M870";"12x70mm";"Armor-Piercing Slug";"172(18) | 120(21)"
"M870";"12x70mm";"Dragon's Breath";"43(18) | 30(21)"
"M870";"12x70mm";"Dual Shell";"95(18) | 67(21)"
"M870";"12x70mm";"Flechette Buckshot";"34(18) | 24(21)"
"M870";"12x70mm";"Grizzly Slug";"196(18) | 137(21)"
"M870";"12x70mm";"GT Slug";"210(18) | 147(21)"
"M870";"12x70mm";"Led Slug";"187(18) | 131(21)"
"M870";"12x70mm";"RIP Slug";"283(18) | 198(21)"
"M870";"12x70mm";"Type 5 Buckshot";"45(18) | 32(21)"
"M870";"12x70mm";"Type 7 Buckshot";"46(18) | 32(21)"
"M870";"12x70mm";"Type 8 Buckshot";"52(18) | 36(21)"
"M96";"5.56x45mm";"FMJ Hunting";"55(66) | 39(69)"
"M96";"5.56x45mm";"HP Hunting";"71(66) | 50(69)"
"M96";"5.56x45mm";"M193";"54(66) | 38(69)"
"M96";"5.56x45mm";"M855";"52(66) | 36(69)"
"M96";"5.56x45mm";"M855A1";"46(66) | 32(69)"
"M96";"5.56x45mm";"M855A2";"50(66) | 35(69)"
"M96";"5.56x45mm";"M995";"43(66) | 30(69)"
"M9A3";"9x19mm";"7N31";"40(20) | 28(23)"
"M9A3";"9x19mm";"AP6.3";"42(20) | 29(23)"
"M9A3";"9x19mm";"Dum-Dum";"70(20) | 49(23)"
"M9A3";"9x19mm";"PSO";"50(20) | 35(23)"
"M9A3";"9x19mm";"Pst";"46(20) | 32(23)"
"MAC-10";".45";"AP";"48(41) | 34(44)"
"MAC-10";".45";"APWC";"48(41) | 34(44)"
"MAC-10";".45";"FMJ";"54(41) | 38(44)"
"MAC-10";".45";"HS";"58(41) | 41(44)"
"MCX";"5.56x45mm";"FMJ Hunting";"55(40) | 39(43)"
"MCX";"5.56x45mm";"HP Hunting";"71(40) | 50(43)"
"MCX";"5.56x45mm";"M193";"54(40) | 38(43)"
"MCX";"5.56x45mm";"M855";"52(40) | 36(43)"
"MCX";"5.56x45mm";"M855A1";"46(40) | 32(43)"
"MCX";"5.56x45mm";"M855A2";"50(40) | 35(43)"
"MCX";"5.56x45mm";"M995";"43(40) | 30(43)"
"MDR";"5.56x45mm";"FMJ Hunting";"57(63) | 40(66)"
"MDR";"5.56x45mm";"HP Hunting";"73(63) | 51(66)"
"MDR";"5.56x45mm";"M193";"56(63) | 39(66)"
"MDR";"5.56x45mm";"M855";"54(63) | 38(66)"
"MDR";"5.56x45mm";"M855A1";"48(63) | 34(66)"
"MDR";"5.56x45mm";"M855A2";"52(63) | 36(66)"
"MDR";"5.56x45mm";"M995";"45(63) | 32(66)"
"Mini14";"5.56x45mm";"FMJ Hunting";"60(77) | 42(80)"
"Mini14";"5.56x45mm";"HP Hunting";"76(77) | 53(80)"
"Mini14";"5.56x45mm";"M193";"59(77) | 41(80)"
"Mini14";"5.56x45mm";"M855";"57(77) | 40(80)"
"Mini14";"5.56x45mm";"M855A1";"51(77) | 36(80)"
"Mini14";"5.56x45mm";"M855A2";"55(77) | 39(80)"
"Mini14";"5.56x45mm";"M995";"48(77) | 34(80)"
"Mk14";"7.62x51mm";"BPZ";"69(66) | 48(69)"
"Mk14";"7.62x51mm";"M61";"52(66) | 36(69)"
"Mk14";"7.62x51mm";"M62";"58(66) | 41(69)"
"Mk14";"7.62x51mm";"M80";"65(66) | 46(69)"
"Mk14";"7.62x51mm";"UN";"81(66) | 57(69)"
"ML Lever-Action";".44";"JSP";"67(74) | 47(77)"
"ML Lever-Action";".44";"LFNP";"98(74) | 69(77)"
"ML Lever-Action";".44";"SJHP";"76(74) | 53(77)"
"Mosin";"7.62x54mm";"7BT1";"58(100) | 41(103)"
"Mosin";"7.62x54mm";"7N37";"43(100) | 30(103)"
"Mosin";"7.62x54mm";"LPS";"68(100) | 48(103)"
"Mosin";"7.62x54mm";"SNB";"57(100) | 40(103)"
"Mosin";"7.62x54mm";"T46M";"70(100) | 49(103)"
"MP 40";"9x19mm";"7N31";"47(32) | 33(35)"
"MP 40";"9x19mm";"AP6.3";"49(32) | 34(35)"
"MP 40";"9x19mm";"Dum-Dum";"77(32) | 54(35)"
"MP 40";"9x19mm";"PSO";"57(32) | 40(35)"
"MP 40";"9x19mm";"Pst";"53(32) | 37(35)"
"MP-133";"12x70mm";"Armor-Piercing Slug";"168(17) | 118(20)"
"MP-133";"12x70mm";"Dragon's Breath";"39(17) | 27(20)"
"MP-133";"12x70mm";"Dual Shell";"91(17) | 64(20)"
"MP-133";"12x70mm";"Flechette Buckshot";"30(17) | 21(20)"
"MP-133";"12x70mm";"Grizzly Slug";"192(17) | 134(20)"
"MP-133";"12x70mm";"GT Slug";"206(17) | 144(20)"
"MP-133";"12x70mm";"Led Slug";"183(17) | 128(20)"
"MP-133";"12x70mm";"RIP Slug";"279(17) | 195(20)"
"MP-133";"12x70mm";"Type 5 Buckshot";"41(17) | 29(20)"
"MP-133";"12x70mm";"Type 7 Buckshot";"42(17) | 29(20)"
"MP-133";"12x70mm";"Type 8 Buckshot";"48(17) | 34(20)"
"MP5";"9x19mm";"7N31";"46(32) | 32(35)"
"MP5";"9x19mm";"AP6.3";"48(32) | 34(35)"
"MP5";"9x19mm";"Dum-Dum";"76(32) | 53(35)"
"MP5";"9x19mm";"PSO";"56(32) | 39(35)"
"MP5";"9x19mm";"Pst";"52(32) | 36(35)"
"MP9";"9x19mm";"7N31";"44(13) | 31(16)"
"MP9";"9x19mm";"AP6.3";"46(13) | 32(16)"
"MP9";"9x19mm";"Dum-Dum";"74(13) | 52(16)"
"MP9";"9x19mm";"PSO";"54(13) | 38(16)"
"MP9";"9x19mm";"Pst";"50(13) | 35(16)"
"MPF45";".45";"AP";"46(30) | 32(33)"
"MPF45";".45";"APWC";"46(30) | 32(33)"
"MPF45";".45";"FMJ";"52(30) | 36(33)"
"MPF45";".45";"HS";"56(30) | 39(33)"
"MPX";"9x19mm";"7N31";"50(41) | 35(44)"
"MPX";"9x19mm";"AP6.3";"52(41) | 36(44)"
"MPX";"9x19mm";"Dum-Dum";"80(41) | 56(44)"
"MPX";"9x19mm";"PSO";"60(41) | 42(44)"
"MPX";"9x19mm";"Pst";"56(41) | 39(44)"
"P90";"5.7x28mm";"L191";"58(45) | 41(48)"
"P90";"5.7x28mm";"R37.F";"81(45) | 57(48)"
"P90";"5.7x28mm";"R37.X";"74(45) | 52(48)"
"P90";"5.7x28mm";"SS190";"50(45) | 35(48)"
"P90";"5.7x28mm";"SS197SR";"65(45) | 46(48)"
"P90";"5.7x28mm";"SS198";"46(45) | 32(48)"
"PCC-9";"9x19mm";"7N31";"52(43) | 36(46)"
"PCC-9";"9x19mm";"AP6.3";"54(43) | 38(46)"
"PCC-9";"9x19mm";"Dum-Dum";"82(43) | 57(46)"
"PCC-9";"9x19mm";"PSO";"62(43) | 43(46)"
"PCC-9";"9x19mm";"Pst";"58(43) | 41(46)"
"PP19-01";"9x19mm";"7N31";"48(36) | 34(39)"
"PP19-01";"9x19mm";"AP6.3";"50(36) | 35(39)"
"PP19-01";"9x19mm";"Dum-Dum";"78(36) | 55(39)"
"PP19-01";"9x19mm";"PSO";"58(36) | 41(39)"
"PP19-01";"9x19mm";"Pst";"54(36) | 38(39)"
"QC61";"7.62x25mm";"AKBS";"55(38) | 39(41)"
"QC61";"7.62x25mm";"LRN";"61(38) | 43(41)"
"QC61";"7.62x25mm";"PS";"44(38) | 31(41)"
"QC61";"7.62x25mm";"Pst";"48(38) | 34(41)"
"QC61";"7.62x25mm";"PT";"52(38) | 36(41)"
"RPK-16";"5.45x39mm";"BS";"45(67) | 32(70)"
"RPK-16";"5.45x39mm";"HP";"78(67) | 55(70)"
"RPK-16";"5.45x39mm";"PB";"50(67) | 35(70)"
"RPK-16";"5.45x39mm";"PP";"49(67) | 34(70)"
"RPK-16";"5.45x39mm";"PRS";"64(67) | 45(70)"
"RPK-16";"5.45x39mm";"PS";"58(67) | 41(70)"
"S12K";"12x70mm";"Armor-Piercing Slug";"166(16) | 116(19)"
"S12K";"12x70mm";"Dragon's Breath";"37(16) | 26(19)"
"S12K";"12x70mm";"Dual Shell";"89(16) | 62(19)"
"S12K";"12x70mm";"Flechette Buckshot";"28(16) | 20(19)"
"S12K";"12x70mm";"Grizzly Slug";"190(16) | 133(19)"
"S12K";"12x70mm";"GT Slug";"204(16) | 143(19)"
"S12K";"12x70mm";"Led Slug";"181(16) | 127(19)"
"S12K";"12x70mm";"RIP Slug";"277(16) | 194(19)"
"S12K";"12x70mm";"Type 5 Buckshot";"39(16) | 27(19)"
"S12K";"12x70mm";"Type 7 Buckshot";"40(16) | 28(19)"
"S12K";"12x70mm";"Type 8 Buckshot";"46(16) | 32(19)"
"SA85M";"7.62x39mm";"AP";"42(61) | 29(64)"
"SA85M";"7.62x39mm";"HP";"75(61) | 53(64)"
"SA85M";"7.62x39mm";"LP";"57(61) | 40(64)"
"SA85M";"7.62x39mm";"PB";"52(61) | 36(64)"
"SA85M";"7.62x39mm";"PS";"52(61) | 36(64)"
"SA85M";"7.62x39mm";"T45M";"57(61) | 40(64)"
"SA85M";"7.62x39mm";"US";"52(61) | 36(64)"
"SCAR-L";"5.56x45mm";"FMJ Hunting";"59(54) | 41(57)"
"SCAR-L";"5.56x45mm";"HP Hunting";"75(54) | 53(57)"
"SCAR-L";"5.56x45mm";"M193";"58(54) | 41(57)"
"SCAR-L";"5.56x45mm";"M855";"56(54) | 39(57)"
"SCAR-L";"5.56x45mm";"M855A1";"50(54) | 35(57)"
"SCAR-L";"5.56x45mm";"M855A2";"54(54) | 38(57)"
"SCAR-L";"5.56x45mm";"M995";"47(54) | 33(57)"
"SG550";"5.56x45mm";"FMJ Hunting";"50(59) | 35(62)"
"SG550";"5.56x45mm";"HP Hunting";"66(59) | 46(62)"
"SG550";"5.56x45mm";"M193";"49(59) | 34(62)"
"SG550";"5.56x45mm";"M855";"47(59) | 33(62)"
"SG550";"5.56x45mm";"M855A1";"41(59) | 29(62)"
"SG550";"5.56x45mm";"M855A2";"45(59) | 32(62)"
"SG550";"5.56x45mm";"M995";"38(59) | 27(62)"
"SJ16";".338";"AP";"92(125)"
"SJ16";".338";"FMJ";"96(125)"
"SJ16";".338";"UPZ";"112(125)"
"SKS";"7.62x39mm";"AP";"48(67) | 34(70)"
"SKS";"7.62x39mm";"HP";"81(67) | 57(70)"
"SKS";"7.62x39mm";"LP";"63(67) | 44(70)"
"SKS";"7.62x39mm";"PB";"58(67) | 41(70)"
"SKS";"7.62x39mm";"PS";"58(67) | 41(70)"
"SKS";"7.62x39mm";"T45M";"63(67) | 44(70)"
"SKS";"7.62x39mm";"US";"58(67) | 41(70)"
"SPR310";"12x70mm";"Armor-Piercing Slug";"164(12) | 115(15)"
"SPR310";"12x70mm";"Dragon's Breath";"35(12) | 25(15)"
"SPR310";"12x70mm";"Dual Shell";"87(12) | 61(15)"
"SPR310";"12x70mm";"Flechette Buckshot";"26(12) | 18(15)"
"SPR310";"12x70mm";"Grizzly Slug";"188(12) | 132(15)"
"SPR310";"12x70mm";"GT Slug";"202(12) | 141(15)"
"SPR310";"12x70mm";"Led Slug";"179(12) | 125(15)"
"SPR310";"12x70mm";"RIP Slug";"275(12) | 193(15)"
"SPR310";"12x70mm";"Type 5 Buckshot";"37(12) | 26(15)"
"SPR310";"12x70mm";"Type 7 Buckshot";"38(12) | 27(15)"
"SPR310";"12x70mm";"Type 8 Buckshot";"44(12) | 31(15)"
"SVDS";"7.62x54mm";"7BT1";"72(93) | 50(96)"
"SVDS";"7.62x54mm";"7N37";"57(93) | 40(96)"
"SVDS";"7.62x54mm";"LPS";"82(93) | 57(96)"
"SVDS";"7.62x54mm";"SNB";"71(93) | 50(96)"
"SVDS";"7.62x54mm";"T46M";"84(93) | 59(96)"
"SVTU";"7.62x54mm";"7BT1";"56(73) | 39(76)"
"SVTU";"7.62x54mm";"7N37";"41(73) | 29(76)"
"SVTU";"7.62x54mm";"LPS";"66(73) | 46(76)"
"SVTU";"7.62x54mm";"SNB";"55(73) | 39(76)"
"SVTU";"7.62x54mm";"T46M";"68(73) | 48(76)"
"T03";"5.8x42mm";"DBP87";"54(61) | 38(64)"
"T03";"5.8x42mm";"DVC12";"46(61) | 32(64)"
"T03";"5.8x42mm";"DVP88";"49(61) | 34(64)"
"T05";"9x19mm";"7N31";"39(16) | 27(19)"
"T05";"9x19mm";"AP6.3";"41(16) | 29(19)"
"T05";"9x19mm";"Dum-Dum";"69(16) | 48(19)"
"T05";"9x19mm";"PSO";"49(16) | 34(19)"
"T05";"9x19mm";"Pst";"45(16) | 32(19)"
"T191";"5.8x42mm";"DBP87";"54(55) | 38(58)"
"T191";"5.8x42mm";"DVC12";"46(55) | 32(58)"
"T191";"5.8x42mm";"DVP88";"49(55) | 34(58)"
"T192";"5.8x42mm";"DBP87";"55(47) | 39(50)"
"T192";"5.8x42mm";"DVC12";"47(47) | 33(50)"
"T192";"5.8x42mm";"DVP88";"50(47) | 35(50)"
"T54";"7.62x25mm";"AKBS";"54(14) | 38(17)"
"T54";"7.62x25mm";"LRN";"60(14) | 42(17)"
"T54";"7.62x25mm";"PS";"43(14) | 30(17)"
"T54";"7.62x25mm";"Pst";"47(14) | 33(17)"
"T54";"7.62x25mm";"PT";"51(14) | 36(17)"
"T79";"7.62x25mm";"AKBS";"56(38) | 39(41)"
"T79";"7.62x25mm";"LRN";"62(38) | 43(41)"
"T79";"7.62x25mm";"PS";"45(38) | 32(41)"
"T79";"7.62x25mm";"Pst";"49(38) | 34(41)"
"T79";"7.62x25mm";"PT";"53(38) | 37(41)"
"T85";"7.62x25mm";"AKBS";"56(44) | 39(47)"
"T85";"7.62x25mm";"LRN";"62(44) | 43(47)"
"T85";"7.62x25mm";"PS";"45(44) | 32(47)"
"T85";"7.62x25mm";"Pst";"49(44) | 34(47)"
"T85";"7.62x25mm";"PT";"53(44) | 37(47)"
"T88";"5.8x42mm";"DBP87";"65(117) | 46(120)"
"T88";"5.8x42mm";"DVC12";"57(117) | 40(120)"
"T88";"5.8x42mm";"DVP88";"60(117) | 42(120)"
"T951";"5.8x42mm";"DBP87";"54(53) | 38(56)"
"T951";"5.8x42mm";"DVC12";"46(53) | 32(56)"
"T951";"5.8x42mm";"DVP88";"49(53) | 34(56)"
"U191";"5.8x42mm";"DBP87";"57(69) | 40(72)"
"U191";"5.8x42mm";"DVC12";"49(69) | 34(72)"
"U191";"5.8x42mm";"DVP88";"52(69) | 36(72)"
"UMP45";".45";"AP";"51(45) | 36(48)"
"UMP45";".45";"APWC";"51(45) | 36(48)"
"UMP45";".45";"FMJ";"57(45) | 40(48)"
"UMP45";".45";"HS";"61(45) | 43(48)"
"USAS-12";"12x70mm";"Armor-Piercing Slug";"166(14) | 116(17)"
"USAS-12";"12x70mm";"Dragon's Breath";"37(14) | 26(17)"
"USAS-12";"12x70mm";"Dual Shell";"89(14) | 62(17)"
"USAS-12";"12x70mm";"Flechette Buckshot";"28(14) | 20(17)"
"USAS-12";"12x70mm";"Grizzly Slug";"190(14) | 133(17)"
"USAS-12";"12x70mm";"GT Slug";"204(14) | 143(17)"
"USAS-12";"12x70mm";"Led Slug";"181(14) | 127(17)"
"USAS-12";"12x70mm";"RIP Slug";"277(14) | 194(17)"
"USAS-12";"12x70mm";"Type 5 Buckshot";"39(14) | 27(17)"
"USAS-12";"12x70mm";"Type 7 Buckshot";"40(14) | 28(17)"
"USAS-12";"12x70mm";"Type 8 Buckshot";"46(14) | 32(17)"
"UZI";"9x19mm";"7N31";"44(33) | 31(36)"
